epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,300.185,1.13843,2.15422,0.94324,0.00217,0.125,0.04013,0.02757,1.08839,4.55006,0.87958,0.000243581,0.000243581,0.000243581
43,307.222,1.29037,2.37527,0.97464,0.00318,0.16667,0.04138,0.02439,1.08479,4.53733,0.87958,0.000245364,0.000245364,0.000245364
44,314.226,1.14849,2.66834,0.86737,0.00318,0.16667,0.04138,0.02439,1.08479,4.53733,0.87958,0.000246949,0.000246949,0.000246949
45,321.312,1.12605,2.20127,0.97728,0.0026,0.16667,0.03742,0.02198,1.04485,4.50603,0.87255,0.000248336,0.000248336,0.000248336
46,328.372,1.13436,2.02091,0.93733,0.0026,0.16667,0.03742,0.02198,1.04485,4.50603,0.87255,0.000249525,0.000249525,0.000249525
47,335.401,1.08348,2.0162,0.90913,0.00225,0.16667,0.03314,0.02241,1.00278,4.44935,0.86628,0.000250516,0.000250516,0.000250516
48,342.478,1.13551,2.15139,0.92858,0.00225,0.16667,0.03314,0.02241,1.00278,4.44935,0.86628,0.000251309,0.000251309,0.000251309
49,349.446,1.10727,1.92191,0.94114,0.00191,0.16667,0.0354,0.02428,0.98892,4.41248,0.87047,0.000251904,0.000251904,0.000251904
50,356.345,1.16309,2.36117,0.982,0.00191,0.16667,0.0354,0.02428,0.98892,4.41248,0.87047,0.000252301,0.000252301,0.000252301
51,363.278,1.26572,2.64054,0.9978,0.00125,0.125,0.04432,0.03215,0.98274,4.41538,0.8684,0.0002525,0.0002525,0.0002525
52,370.287,1.0751,2.22334,0.93282,0.00125,0.125,0.04432,0.03215,0.98274,4.41538,0.8684,0.000252501,0.000252501,0.000252501
53,377.19,1.10582,2.38546,0.92983,0.00125,0.125,0.04432,0.03215,0.98274,4.41538,0.8684,0.000252304,0.000252304,0.000252304
54,384.157,1.12223,2.31813,0.95293,0.00123,0.125,0.04505,0.03622,1.00311,4.38996,0.87565,0.000251909,0.000251909,0.000251909
55,391.091,0.94399,2.2393,0.87968,0.00123,0.125,0.04505,0.03622,1.00311,4.38996,0.87565,0.000251316,0.000251316,0.000251316
56,398.131,1.11522,1.8201,0.98634,0.00123,0.125,0.04505,0.03622,1.00311,4.38996,0.87565,0.000250525,0.000250525,0.000250525
57,405.058,0.95946,2.02146,0.962,0.00122,0.125,0.07353,0.06132,1.00453,4.35881,0.87637,0.000249536,0.000249536,0.000249536
